n,avg_ratio,std_ratio,avg_greedy,avg_opt
10,1.000000,0.000000,4.0000,4.0000
20,0.962963,0.064150,8.3333,8.6667
30,0.952381,0.082479,13.0000,13.6667
40,1.000000,0.000000,17.6667,17.6667
50,0.969697,0.026243,21.0000,21.6667
60,0.974359,0.022206,25.6667,26.3333
70,0.967742,0.032258,29.6667,30.6667
80,0.953175,0.016515,34.0000,35.6667
90,0.966667,0.038188,39.0000,40.3333
100,0.962290,0.026390,42.6667,44.3333
110,0.945703,0.010955,46.3333,49.0000
120,0.962264,0.000000,51.0000,53.0000
130,0.960062,0.009448,56.0000,58.3333
140,0.962366,0.009312,59.6667,62.0000
150,0.955725,0.025236,64.3333,67.3333
160,0.957545,0.014089,67.6667,70.6667
170,0.956017,0.015012,72.3333,75.6667
180,0.929210,0.018750,74.3333,80.0000
190,0.976284,0.011906,82.3333,84.3333
200,0.955056,0.000000,85.0000,89.0000
